"Périmètre","Municipalité","MRC","Score %","Nb immeubles","Nb logements","Alimentation %","Service de garde %","École primaire %","École secondaire %","Espaces naturels %","Loisirs et sport %","Équipements culturels %","Pharmacie %","Soins de santé 1re ligne %","Transport en commun %","Mobilité partagée %","Réseau cyclable %","Nb lacunes"
"#1","Mirabel","Mirabel","26","360","504","100","0","78","0","99","0","0","38","0","0","0","0","9"
"#2","Mont-Tremblant","Les Laurentides","6","33","33","0","0","0","0","0","0","0","0","0","33","0","33","12"
"#3","Notre-Dame-de-Pontmain","Antoine-Labelle","25","64","87","100","0","100","0","100","0","0","0","0","0","0","0","9"
"#4","La Macaza","Antoine-Labelle","17","21","22","100","0","0","0","100","0","0","0","0","0","0","0","10"
"#5","Brownsburg-Chatham","Argenteuil","9","371","490","0","0","27","0","66","0","0","0","0","0","0","14","12"
"#7","Mirabel","Mirabel","23","140","176","100","0","100","0","74","0","0","0","0","0","0","0","9"
"#8","Rosemère","Thérèse-De Blainville","25","28","30","100","0","0","0","3","0","0","0","100","100","0","0","9"
"#9","Mirabel","Mirabel","17","240","382","0","0","0","0","100","0","0","0","0","100","0","9","10"
"#10","Mirabel","Mirabel","15","1088","1234","0","0","53","0","46","59","0","0","0","0","0","22","12"
"#11","Mirabel","Mirabel","3","224","267","0","0","0","0","33","0","0","0","0","0","0","0","12"
"#12","Mirabel","Mirabel","20","3","3","100","0","0","67","0","0","67","0","0","0","0","0","11"
"#13","Mirabel","Mirabel","4","19","24","0","0","0","0","0","0","0","0","0","42","0","0","12"
"#14","Saint-André-d'Argenteuil","Argenteuil","33","65","74","0","0","0","0","100","0","99","0","0","100","0","100","8"
"#15","Grenville","Argenteuil","26","639","992","92","0","91","0","55","0","0","0","0","20","0","54","10"
"#16","Rosemère","Thérèse-De Blainville","42","14","15","100","0","0","0","100","0","0","0","100","100","0","100","7"
"#17","Mont-Saint-Michel","Antoine-Labelle","25","117","135","100","0","100","0","100","0","0","0","0","0","0","0","9"
"#18","L'Ascension","Antoine-Labelle","33","118","139","100","0","100","0","100","0","100","0","0","0","0","0","8"
"#20","Mirabel","Mirabel","38","2734","3495","57","0","87","87","79","16","36","15","41","0","0","42","9"
"#21","Mirabel","Mirabel","32","279","387","99","0","98","0","87","96","0","0","0","0","0","0","8"
"#22","Mirabel","Mirabel","47","7317","10877","76","16","80","53","90","27","39","21","25","50","0","88","8"
"#23","Mirabel","Mirabel","6","45","46","0","0","0","0","70","0","0","0","0","0","0","0","11"
"#24","Mirabel","Mirabel","5","57","59","0","0","0","0","0","61","0","0","0","0","0","0","12"
"#25","Mirabel","Mirabel","28","3282","4916","77","8","40","0","98","0","47","4","0","0","0","61","10"
